"CNTSCHID","Region","generalPISA","finlitPISA","FLindicator","ST001D01T","ST004D01T","AGE","ISCEDD","ISCEDO","BELANGN","HEDRES","WEALTH","ST013Q01TA","IMMIG","MISCED","FISCED","BMMJ1","BFMJ2","EMOSUPS","REPEAT","OUTHOURS","MMINS","LMINS","PV1MATH","PV1READ","ANXTEST","MOTIVAT","SC001Q01TA","SC048Q01NA","SC048Q02NA","SC048Q03NA","SCHSIZE","CLSIZE","RATCMP1","LEADPD","SCHAUT","EDUSHORT","STRATIO","CNTSTUID","PV1FLIT"
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,1.4461,"11-25 books","Native","ISCED 5A, 6","ISCED 5A, 6",43,51,-0.889,"Did not repeat a <grade>",8,150,200,443.879,499.022,-1.1801,-0.61,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602061,534.377
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Male",16,"A","Vocational","Dutch",0.0321,0.9302,"0-10 books","Native","ISCED 5B","ISCED 5A, 6",45,62,1.0991,"Did not repeat a <grade>",25,150,200,535.005,582.361,-0.6871,-0.4849,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603299,618.548
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","General","Dutch",1.1563,-0.1773,"0-10 books","Native","ISCED 2","ISCED 2",21,21,-0.2495,"Did not repeat a <grade>",5,225,180,547.863,541.375,-1.5176,-0.4495,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603216,441.154
5600001,"Belgium: Flemish community",1,1,0,"Grade 8","Female",15,"A","General","Dutch",-1.0418,-0.3575,"11-25 books","Native","ISCED 3A, ISCED 4","ISCED 5A, 6",69,57,0.3821,"Repeated a <grade>",21,200,200,442.279,503.11,0.9908,-0.61,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5604495,458.013
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Dutch",-0.6281,0.2244,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",50,34,0.3838,"Repeated a <grade>",7,150,200,520.485,563.544,0.5209,-0.0056,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5600709,548.361
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Female",15,"A","Vocational","Dutch",-0.9706,0.245,"26-100 books","Native","ISCED 5A, 6","ISCED 3A, ISCED 4",77,38,-1.7212,"Repeated a <grade>",14,150,200,533.191,447.308,-1.1148,-2.685,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603457,419.978
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",0.2156,0.5687,"0-10 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",28,25,0.0264,"Did not repeat a <grade>",6,150,200,551.5,446.298,-0.4305,-0.1651,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602050,409.904
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","General","Dutch",-0.9706,-0.62,"101-200 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",24,25,-0.889,"Did not repeat a <grade>",8,250,200,612.502,563.109,0.5209,-1.1822,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603352,595.117
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Dutch",-1.0496,0.45,"201-500 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",16,50,0.1711,"Repeated a <grade>",14,150,200,477.934,426.142,-0.6871,0.8101,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5604618,592.474
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.8668,"11-25 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",41,53,0.0264,"Did not repeat a <grade>",6,150,200,562.549,583.829,0.5306,-0.8896,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602863,564.341
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",0.6829,1.185,"26-100 books","Native","ISCED 5B","ISCED 3A, ISCED 4",45,69,-0.889,"Did not repeat a <grade>",5,135,180,461.724,502.201,-0.4331,-1.1706,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602017,564.666
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","General","Dutch",0.0321,0.0435,"26-100 books","Native","ISCED 3B, C","ISCED 5B",22,77,-0.2495,"Did not repeat a <grade>",9,300,200,691.203,642.065,-0.0345,-0.8771,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5606289,648.317
5600001,"Belgium: Flemish community",1,1,1,"Grade 9","Male",16,"A","Vocational","Dutch",0.1927,0.6528,"0-10 books","Native","ISCED 5A, 6","ISCED 5A, 6",45,71,0.4662,"Repeated a <grade>",12,150,200,534.782,451.457,-0.2506,-1.7727,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603763,521.81
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Another language (BEL)",1.1563,0.1921,"11-25 books","Second-Generation","ISCED 2","ISCED 2",16,28,-0.1676,"Did not repeat a <grade>",21,150,200,409.874,449.442,-0.2039,0.1609,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605292,400.814
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Dutch",0.0321,0.2913,"201-500 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",22,31,-0.889,"Repeated a <grade>",34,150,200,476.564,476.739,-0.9377,-1.0795,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605259,502.746
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","General","Dutch",0.0321,0.073,"More than 500 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",39,45,-1.388,"Repeated a <grade>",9,250,200,630.651,574.249,0.5306,-0.1756,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5600784,629.171
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"A","General","Dutch",0.1927,1.1795,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 3B, C",30,39,-0.2495,"Repeated a <grade>",13,250,200,598.086,529.068,-2.505,-0.6576,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601332,525.107
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.3915,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 5A, 6",28,69,-0.889,"Did not repeat a <grade>",6,150,200,508.073,571.922,-0.1433,-0.8896,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5600245,692.682
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",-0.5343,0.3939,"26-100 books","Native","ISCED 5B","ISCED 3B, C",77,26,-0.889,"Did not repeat a <grade>",4,120,160,448.276,458.393,-0.6871,-1.1822,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602073,497.454
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","General","Dutch",0.0321,1.0535,"201-500 books","Native","ISCED 3A, ISCED 4","ISCED 5B",25,50,-0.889,"Did not repeat a <grade>",10,250,200,611.243,598.242,0.0031,-1.1822,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605818,511.567
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,-0.2524,"11-25 books","Native","ISCED 5B","ISCED 5B",45,81,-1.388,"Did not repeat a <grade>",8,150,200,542.39,555.966,-0.308,-0.9233,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603221,548.689
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Dutch",0.0321,-0.5778,"0-10 books","Native","ISCED 3B, C","ISCED 3B, C",16,18,0.5658,"Repeated a <grade>",12,150,200,579.146,550.406,-1.3753,-1.0795,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5604026,515.767
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","General","Dutch",0.0321,1.12,"More than 500 books","Native","ISCED 3A, ISCED 4","ISCED 3B, C",28,34,1.0991,"Did not repeat a <grade>",18,250,200,490.867,506.796,-0.4671,-1.0795,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601947,579.008
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","General","Dutch",1.1563,1.6424,"More than 500 books","Native","ISCED 5A, 6","ISCED 3A, ISCED 4",69,36,1.0991,"Did not repeat a <grade>",28,250,200,592.324,615.992,2.5493,-0.1756,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605520,606.737
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","General","Dutch",1.1563,0.1888,"0-10 books","Native","ISCED 5B","ISCED 5A, 6",31,75,1.0991,"Did not repeat a <grade>",5,225,180,549.768,439.327,-2.505,0.2296,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5606144,508.803
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,1.4175,"26-100 books","Native","ISCED 5B","ISCED 5A, 6",45,70,0.4662,"Did not repeat a <grade>",7,150,200,592.424,552.728,-1.5176,-2.2453,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5603211,623.791
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.4932,"11-25 books","Native","ISCED 5A, 6","ISCED 5A, 6",65,81,1.0991,"Did not repeat a <grade>",7,165,220,651.017,651.885,-0.4823,0.515,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602698,664.89
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Male",16,"A","General","Dutch",1.1563,1.0992,"More than 500 books","Native","ISCED 5A, 6","ISCED 5A, 6",72,88,0.0264,"Did not repeat a <grade>",14,250,200,541.553,510.146,1.8135,-0.4495,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605798,541.696
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",-0.6303,0.6083,"26-100 books","Native","ISCED 3B, C","ISCED 3A, ISCED 4",43,33,1.0991,"Did not repeat a <grade>",34,120,160,563.533,564.446,0.2594,-1.1116,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605538,557.396
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Another language (BEL)",-0.9044,-0.3755,"0-10 books","First-Generation","ISCED 5B","ISCED 5A, 6",28,27,0.2493,"Repeated a <grade>",24,150,200,505.98,501.08,0.4517,1.8543,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601417,364.101
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.8808,"11-25 books","Native","ISCED 5A, 6","ISCED 3A, ISCED 4",57,37,0.5658,"Did not repeat a <grade>",14,150,200,586.836,539.578,-0.2039,-0.4495,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5600463,575.19
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,-0.4006,"101-200 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",17,16,-0.889,"Did not repeat a <grade>",33,150,200,445.822,561.426,1.0016,-0.544,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605313,538.627
5600001,"Belgium: Flemish community",1,1,1,"Grade 10","Female",15,"A","General","Dutch",-1.0509,-0.0295,"201-500 books","Native","ISCED 3B, C","ISCED 5B",60,29,-1.3298,"Did not repeat a <grade>",13,300,200,570.336,577.25,0.8459,-1.3281,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601583,624.404
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.0363,"201-500 books","Native","ISCED 5B","ISCED 5B",25,76,0.0264,"Did not repeat a <grade>",27,150,200,542.428,562.399,0.8459,-0.8133,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601063,473.818
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","General","Dutch",0.0321,0.6044,"11-25 books","Native","ISCED 5B","ISCED 5B",51,69,1.0991,"Did not repeat a <grade>",15,250,200,583.018,557.734,0.219,0.4485,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5602316,489.234
5600001,"Belgium: Flemish community",1,1,0,"Grade 10","Female",15,"A","Vocational","Dutch",-0.7218,0.8926,"101-200 books","Native","ISCED 5A, 6","ISCED 5A, 6",69,52,1.0991,"Did not repeat a <grade>",10,150,200,590.129,514.903,1.1168,-1.1296,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5605293,555.226
5600001,"Belgium: Flemish community",1,1,0,"Grade 9","Male",16,"A","Vocational","Dutch",1.1563,1.2681,"More than 500 books","Native","ISCED 3A, ISCED 4","None",73,28,0.4662,"Repeated a <grade>",6,135,180,503.383,519.637,-0.5197,-0.4982,"A city (100 000 to about 1 000 000 people)",10,5,10,676,18,0.4146,0.6406,0.83,0.3806,10.3206,5601822,479.543
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Male",16,"A","Vocational","Dutch",1.1563,0.1166,"0-10 books","Native","ISCED 5A, 6","ISCED 3A, ISCED 4",16,44,-0.889,"Did not repeat a <grade>",9,150,150,522.493,498.252,-2.505,-0.8771,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5600981,522.772
5600002,"Belgium: Flemish community",1,1,1,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,0.4402,"26-100 books","Native","ISCED 5B","ISCED 3A, ISCED 4",43,36,-0.889,"Did not repeat a <grade>",5,150,200,565.939,588.609,-0.5306,-1.454,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5601008,571.216
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",0.6168,0.5243,"0-10 books","Native","ISCED 3B, C","ISCED 3B, C",16,16,1.0991,"Did not repeat a <grade>",4,350,350,378.04,396.83,0.2594,-0.7791,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5606391,393.957
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"A","Vocational","Dutch",1.1563,0.4803,"201-500 books","Native","ISCED 5B","ISCED 3A, ISCED 4",45,24,1.0991,"Did not repeat a <grade>",39,150,200,590.354,606.152,-0.4671,-0.4954,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5600274,623.193
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",0.0321,0.0828,"201-500 books","Native","ISCED 2","ISCED 1",22,26,-1.6144,"Did not repeat a <grade>",3,300,100,495.842,464.645,0.0752,-0.2908,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5601732,549.239
5600002,"Belgium: Flemish community",1,1,1,"Grade 9","Female",16,"A","Vocational","Dutch",0.0321,0.7877,"0-10 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",52,82,-1.3869,"Repeated a <grade>",2,150,150,463.176,517.247,-2.505,-1.7814,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602954,543.943
5600002,"Belgium: Flemish community",1,1,1,"Grade 8","Male",15,"A","General","Dutch",1.1563,-0.2559,"26-100 books","Native","ISCED 3A, ISCED 4","ISCED 3A, ISCED 4",77,52,-1.1217,"Repeated a <grade>",7,250,200,446.057,456.629,0.5903,-1.1822,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5602196,541.851
5600002,"Belgium: Flemish community",1,1,0,"Grade 9","Female",16,"C","Vocational","Dutch",1.1563,0.4903,"0-10 books","Native","ISCED 5A, 6","ISCED 5B",41,33,-0.2495,"Repeated a <grade>",21,0,0,361.961,304.023,0.0752,-1.1822,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5601570,261.786
5600002,"Belgium: Flemish community",1,1,1,"Grade 10","Female",16,"C","Vocational","Dutch",1.1563,0.1746,"26-100 books","Native","ISCED 5A, 6","ISCED 5A, 6",22,36,-1.9194,"Did not repeat a <grade>",6,0,0,513.108,449.159,-0.0836,-0.2803,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5603271,540.39
5600002,"Belgium: Flemish community",1,1,0,"Grade 10","Female",16,"C","Vocational","Dutch",-1.0509,-1.3058,"26-100 books","Native","ISCED 3B, C","ISCED 3A, ISCED 4",22,33,-1.5266,"Did not repeat a <grade>",12,100,100,552.391,424.847,-0.1451,-0.7791,"A small town (3 000 to about 15 000 people)",11,35,4,680,18,0.9016,0.4475,0.83,1.3451,8.2424,5601497,441.175
